original_language,popularity,most_popular_movie
af,2.504169,Tsotsi
ar,4.892203,The Square
cn,19.167377,Ip Man 3
cs,2.387463,Dancin' It's On
da,38.100487,Manderlay
de,34.938175,The Tooth Fairy
el,28.858238,Dogtooth
en,875.5813,Avatar
es,90.80941,Top Cat Begins
fa,12.049373,Circumstance
fr,73.720245,Asterix at the Olympic Games
he,14.08251,Waltz with Bashir
hi,14.017809,Earth
hu,1.906807,Fateless
id,40.285095,The Raid
is,1.617943,Of Horses and Men
it,88.377075,Rugrats in Paris: The Movie
ja,118.96856,Shin Godzilla
ko,64.238686,Snowpiercer
ky,0.077873,Queen of the Mountains
nb,12.982319,Troll Hunter
nl,13.906611,Black Book
no,11.205726,Dead Snow
pl,13.265432,Ida
ps,1.447734,Osama
pt,44.356712,Trash
ro,9.270133,"4 Months, 3 Weeks and 2 Days"
ru,24.13227,Solaris
sl,0.061248,Juliet and Alfa Romeo
sv,11.347855,Arn: The Knight Templar
ta,0.416179,Ramanujan
te,16.254032,Baahubali: The Beginning
th,11.81832,Ong Bak 2
tr,1.465762,Valley of the Wolves: Iraq
vi,0.072066,Journey from the Fall
xx,6.537986,Quest for Fire
zh,45.742252,The Flowers of War
